Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletnosc[%]
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 15:00;Ca³a doba;0,001;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 16:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-07 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 09:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 10:00;Ca³a doba;0,004;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 11:00;Ca³a doba;0,002;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 12:00;Ca³a doba;0,019;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 13:00;Ca³a doba;0,018;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 14:00;Ca³a doba;0,006;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 15:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 16:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-08 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-09 09:00;Ca³a doba;0,001;100,00
